"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Camaragibe (PE)","PE","131","84.496","155,0"
"Orobó (PE)","PE","19","12.276","154,8"
"Bom Jardim de Minas (MG)","MG","5","3.239","154,4"
"Carlos Gomes (RS)","RS","1","648","154,3"
"Schroeder (SC)","SC","17","11.035","154,1"
"Conceição das Pedras (MG)","MG","2","1.301","153,7"
"Agudos do Sul (PR)","PR","7","4.554","153,7"
"Porto Vera Cruz (RS)","RS","1","653","153,1"
"Caxambu (MG)","MG","17","11.106","153,1"
"Palmeira (SC)","SC","2","1.308","152,9"
"Barcelona (RN)","RN","3","1.963","152,8"
"Abreu e Lima (PE)","PE","81","53.116","152,5"
"Satuba (AL)","AL","11","7.258","151,6"
"Santa Mônica (PR)","PR","3","1.980","151,5"
"Moreira Sales (PR)","PR","9","5.941","151,5"
"Angicos (RN)","RN","9","5.942","151,5"
"Capinzal (SC)","SC","18","11.888","151,4"
"Montes Claros de Goiás (GO)","GO","6","3.964","151,4"
"Lutécia (SP)","SP","2","1.322","151,3"
"Paranapuã (SP)","SP","3","1.984","151,2"
"Guairaçá (PR)","PR","5","3.309","151,1"
"Parapuã (SP)","SP","8","5.296","151,1"
"Alto Horizonte (GO)","GO","5","3.318","150,7"
"Witmarsum (SC)","SC","3","1.991","150,7"
"Estrela do Norte (SP)","SP","2","1.330","150,4"
"Olinda (PE)","PE","321","213.666","150,2"
"Flórida (PR)","PR","2","1.333","150,0"
"Meridiano (SP)","SP","3","2.006","149,6"
"Itaúna do Sul (PR)","PR","2","1.339","149,4"
"Anchieta (SC)","SC","4","2.679","149,3"
"Anita Garibaldi (SC)","SC","5","3.360","148,8"
"Ataléia (MG)","MG","9","6.061","148,5"
"Caiana (MG)","MG","4","2.696","148,4"
"Araújos (MG)","MG","7","4.719","148,3"
"Ivaté (PR)","PR","6","4.061","147,7"
"Caiabu (SP)","SP","3","2.031","147,7"
"Andrelândia (MG)","MG","9","6.099","147,6"
"Major Sales (RN)","RN","3","2.036","147,3"
"Conceição do Pará (MG)","MG","4","2.717","147,2"
"Augusto Severo (RN)","RN","7","4.762","147,0"
"Presidente Olegário (MG)","MG","14","9.540","146,8"
"Guapé (MG)","MG","10","6.827","146,5"
"São João da Paraúna (GO)","GO","1","683","146,4"
"Santa Clara do Sul (RS)","RS","5","3.415","146,4"
"Olímpio Noronha (MG)","MG","2","1.368","146,2"
"Paes Landim (PI)","PI","3","2.052","146,2"
"Simão Pereira (MG)","MG","2","1.372","145,8"
"Pains (MG)","MG","6","4.119","145,7"
"Indiavaí (MT)","MT","2","1.373","145,7"
"Coxilha (RS)","RS","2","1.374","145,6"
"Iguatemi (MS)","MS","12","8.250","145,5"
"Centenário (RS)","RS","2","1.376","145,3"
"Galvão (SC)","SC","2","1.376","145,3"
"São Pedro (SP)","SP","27","18.599","145,2"
"Cumari (GO)","GO","2","1.379","145,0"
"Tupanci do Sul (RS)","RS","1","690","144,9"
"Quixaba (PE)","PE","5","3.451","144,9"
"Arantina (MG)","MG","2","1.381","144,8"
"Maripá (PR)","PR","4","2.766","144,6"
"São Jorge do Patrocínio (PR)","PR","4","2.766","144,6"
"Aliança (PE)","PE","28","19.451","144,0"
"Iapu (MG)","MG","8","5.562","143,8"
"São Jorge (RS)","RS","2","1.394","143,5"
"Vista Alegre (RS)","RS","2","1.398","143,1"
"Nova Santa Rosa (PR)","PR","6","4.197","143,0"
"Campina da Lagoa (PR)","PR","10","6.997","142,9"
"Zacarias (SP)","SP","2","1.400","142,9"
"Paulista (PE)","PE","257","180.049","142,7"
"Garruchos (RS)","RS","2","1.406","142,2"
"Centenário (TO)","TO","2","1.406","142,2"
"Saudade do Iguaçu (PR)","PR","4","2.814","142,1"
"Altamira do Paraná (PR)","PR","1","704","142,0"
"Ourinhos (SP)","SP","84","59.269","141,7"
"Maximiliano de Almeida (RS)","RS","3","2.119","141,6"
"Desterro de Entre Rios (MG)","MG","5","3.532","141,6"
"Nova União (MG)","MG","4","2.831","141,3"
"Sabáudia (PR)","PR","5","3.545","141,0"
"Cosmorama (SP)","SP","5","3.545","141,0"
"Governador Jorge Teixeira (RO)","RO","5","3.548","140,9"
"João Costa (PI)","PI","2","1.421","140,7"
"Cruzmaltina (PR)","PR","2","1.421","140,7"
"Santo Cristo (RS)","RS","10","7.106","140,7"
"Garuva (SC)","SC","13","9.244","140,6"
"Aramina (SP)","SP","4","2.845","140,6"
"Ipojuca (PE)","PE","70","49.849","140,4"
"Torrinha (SP)","SP","7","4.995","140,1"
"Lajedo (PE)","PE","30","21.448","139,9"
"Lages (SC)","SC","113","80.888","139,7"
"Raposos (MG)","MG","12","8.618","139,2"
"Rio do Campo (SC)","SC","4","2.873","139,2"
"Palma Sola (SC)","SC","5","3.594","139,1"
"Central de Minas (MG)","MG","5","3.595","139,1"
"Cachoeira Dourada (MG)","MG","2","1.441","138,8"
"São José do Mantimento (MG)","MG","2","1.441","138,8"
"Paulicéia (SP)","SP","5","3.605","138,7"
"Quaraí (RS)","RS","16","11.537","138,7"
"São Pedro do Butiá (RS)","RS","2","1.445","138,4"
"Giruá (RS)","RS","11","7.958","138,2"
"Rio Bonito (RJ)","RJ","43","31.135","138,1"
"Belém (AL)","AL","3","2.173","138,1"
"Pescaria Brava (SC)","SC","7","5.072","138,0"
"Serrinha (RN)","RN","4","2.900","137,9"
"Dilermando de Aguiar (RS)","RS","2","1.454","137,6"
"Santa Bárbara do Tugúrio (MG)","MG","3","2.188","137,1"
"Padre Marcos (PI)","PI","5","3.647","137,1"
"Ibituruna (MG)","MG","2","1.460","137,0"
"Capão Bonito do Sul (RS)","RS","1","730","137,0"
"Antônio Carlos (SC)","SC","6","4.383","136,9"
"Umuarama (PR)","PR","80","58.520","136,7"
"Corupá (SC)","SC","11","8.065","136,4"
"Barbosa (SP)","SP","5","3.671","136,2"
"Muriaé (MG)","MG","77","56.536","136,2"
"São João (PR)","PR","7","5.143","136,1"
"Carangola (MG)","MG","23","16.913","136,0"
"Francisco Alves (PR)","PR","4","2.947","135,7"
"Altinópolis (SP)","SP","11","8.110","135,6"
"Santa Maria do Oeste (PR)","PR","6","4.433","135,3"
"Jardinópolis (SC)","SC","1","739","135,3"
"São João do Sul (SC)","SC","5","3.697","135,2"
"Lindóia do Sul (SC)","SC","3","2.223","135,0"
"Claro dos Poções (MG)","MG","5","3.706","134,9"
"Pouso Redondo (SC)","SC","12","8.904","134,8"
"Santa Salete (SP)","SP","1","742","134,8"
"São João do Caiuá (PR)","PR","4","2.972","134,6"
"Joanésia (MG)","MG","3","2.230","134,5"
"Vista Alegre do Prata (RS)","RS","1","745","134,2"
"Rio Fortuna (SC)","SC","3","2.235","134,2"
"São Miguel do Fidalgo (PI)","PI","2","1.493","134,0"
"Ilha Comprida (SP)","SP","8","5.976","133,9"
"Ventania (PR)","PR","8","5.980","133,8"
"Catende (PE)","PE","30","22.441","133,7"
"Ibicaré (SC)","SC","2","1.497","133,6"
"Irapuã (SP)","SP","5","3.746","133,5"
"Pitanga (PR)","PR","20","15.016","133,2"
"Moiporá (GO)","GO","1","752","133,0"
"São Gonçalo do Sapucaí (MG)","MG","17","12.797","132,8"
"Cacimbas (PB)","PB","5","3.772","132,6"
"Rio Negro (PR)","PR","23","17.357","132,5"
"São Félix do Piauí (PI)","PI","2","1.510","132,5"
"Presidente Castello Branco (SC)","SC","1","758","131,9"
"Arapuã (PR)","PR","2","1.519","131,7"
"Passo de Torres (SC)","SC","6","4.560","131,6"
"Nova Aliança do Ivaí (PR)","PR","1","761","131,4"
"Lagoa Grande (MG)","MG","6","4.567","131,4"
"Bady Bassitt (SP)","SP","12","9.135","131,4"
"Rodolfo Fernandes (RN)","RN","3","2.291","130,9"
"Linhares (ES)","ES","117","89.360","130,9"
"Novo Santo Antônio (PI)","PI","2","1.528","130,9"
"Guarinos (GO)","GO","1","765","130,7"
"Colômbia (SP)","SP","4","3.060","130,7"
"Poços de Caldas (MG)","MG","115","88.009","130,7"
"Pantano Grande (RS)","RS","6","4.607","130,2"
"Farol (PR)","PR","2","1.538","130,0"
"Mato Leitão (RS)","RS","3","2.309","129,9"
"Santos Dumont (MG)","MG","31","23.866","129,9"
"São Francisco de Goiás (GO)","GO","4","3.080","129,9"
"Lagoão (RS)","RS","4","3.080","129,9"
"Apiúna (SC)","SC","7","5.393","129,8"
"Piquete (SP)","SP","9","6.940","129,7"
"Entre Rios de Minas (MG)","MG","10","7.719","129,6"
"Ronda Alta (RS)","RS","7","5.408","129,4"
"Anitápolis (SC)","SC","2","1.546","129,4"
"Vitória de Santo Antão (PE)","PE","95","73.491","129,3"
"Riachão do Bacamarte (PB)","PB","3","2.325","129,0"
"Serranópolis do Iguaçu (PR)","PR","3","2.329","128,8"
"Itaguari (GO)","GO","3","2.332","128,6"
"Canudos do Vale (RS)","RS","1","778","128,5"
"São Pedro dos Ferros (MG)","MG","5","3.892","128,5"
"Floriano Peixoto (RS)","RS","1","779","128,4"
"Taiaçu (SP)","SP","4","3.118","128,3"
"Jaciara (MT)","MT","18","14.048","128,1"
"Nacip Raydan (MG)","MG","2","1.561","128,1"
"Perobal (PR)","PR","4","3.122","128,1"
"Dois Riachos (AL)","AL","7","5.465","128,1"
"Sales (SP)","SP","4","3.128","127,9"
"Paranavaí (PR)","PR","59","46.217","127,7"
"Leopoldina (MG)","MG","35","27.451","127,5"
"Santa Teresinha (PB)","PB","3","2.356","127,3"
"Vera Cruz (SP)","SP","7","5.508","127,1"
"Lajeado (TO)","TO","2","1.576","126,9"
"Itapuí (SP)","SP","9","7.103","126,7"
"Presidente Epitácio (SP)","SP","29","22.894","126,7"
"Cerro Branco (RS)","RS","3","2.373","126,4"
"Florestal (MG)","MG","5","3.956","126,4"
"Juiz de Fora (MG)","MG","386","305.651","126,3"
"Duartina (SP)","SP","8","6.335","126,3"
