"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Chaval (CE)","CE","1","6.759","14,8"
"Uruana (GO)","GO","1","6.765","14,8"
"Cristópolis (BA)","BA","1","6.769","14,8"
"Esperantina (PI)","PI","3","20.336","14,8"
"Batalha (PI)","PI","2","13.564","14,7"
"Porto de Moz (PA)","PA","3","20.373","14,7"
"Amarante do Maranhão (MA)","MA","3","20.376","14,7"
"Tenente Portela (RS)","RS","1","6.794","14,7"
"Nova Soure (BA)","BA","2","13.595","14,7"
"Miraíma (CE)","CE","1","6.808","14,7"
"Terra Nova (BA)","BA","1","6.810","14,7"
"Granja (CE)","CE","4","27.259","14,7"
"Tabatinga (AM)","AM","5","34.098","14,7"
"Quijingue (BA)","BA","2","13.655","14,6"
"Alvorada D'Oeste (RO)","RO","1","6.837","14,6"
"Virgem da Lapa (MG)","MG","1","6.841","14,6"
"Ibotirama (BA)","BA","2","13.686","14,6"
"Uibaí (BA)","BA","1","6.863","14,6"
"Ribeira do Pombal (BA)","BA","4","27.568","14,5"
"Rio Casca (MG)","MG","1","6.898","14,5"
"Maurilândia (GO)","GO","1","6.919","14,5"
"Buritis (RO)","RO","3","20.777","14,4"
"Nilo Peçanha (BA)","BA","1","6.941","14,4"
"Trairi (CE)","CE","4","27.782","14,4"
"Firminópolis (GO)","GO","1","6.956","14,4"
"Candiba (BA)","BA","1","6.977","14,3"
"Catalão (GO)","GO","8","56.064","14,3"
"Rorainópolis (RR)","RR","2","14.088","14,2"
"Vitória do Xingu (PA)","PA","1","7.053","14,2"
"Chã de Alegria (PE)","PE","1","7.070","14,1"
"Várzea da Roça (BA)","BA","1","7.073","14,1"
"Ipu (CE)","CE","3","21.224","14,1"
"Boca da Mata (AL)","AL","2","14.206","14,1"
"Arapoti (PR)","PR","2","14.272","14,0"
"Brejões (BA)","BA","1","7.143","14,0"
"Campo Alegre de Lourdes (BA)","BA","2","14.291","14,0"
"São Mateus do Maranhão (MA)","MA","3","21.507","13,9"
"Brasil Novo (PA)","PA","1","7.176","13,9"
"Paranaíba (MS)","MS","3","21.595","13,9"
"Ipecaetá (BA)","BA","1","7.199","13,9"
"Peri Mirim (MA)","MA","1","7.204","13,9"
"Olindina (BA)","BA","2","14.410","13,9"
"Pacatuba (SE)","SE","1","7.209","13,9"
"Tefé (AM)","AM","4","28.899","13,8"
"São Pedro do Piauí (PI)","PI","1","7.242","13,8"
"Bom Jesus do Galho (MG)","MG","1","7.244","13,8"
"Primeira Cruz (MA)","MA","1","7.255","13,8"
"Ituberá (BA)","BA","2","14.516","13,8"
"Santa Filomena (PE)","PE","1","7.263","13,8"
"Graça (CE)","CE","1","7.284","13,7"
"Timbiras (MA)","MA","2","14.639","13,7"
"Santo Antônio dos Lopes (MA)","MA","1","7.378","13,6"
"Ribeira do Amparo (BA)","BA","1","7.379","13,6"
"Cidelândia (MA)","MA","1","7.383","13,5"
"Jussara (BA)","BA","1","7.388","13,5"
"Nova Trento (SC)","SC","1","7.389","13,5"
"Tibau do Sul (RN)","RN","1","7.396","13,5"
"Piracuruca (PI)","PI","2","14.822","13,5"
"Coruripe (AL)","AL","4","29.719","13,5"
"Mirinzal (MA)","MA","1","7.437","13,4"
"Barra do Corda (MA)","MA","6","44.679","13,4"
"Paripiranga (BA)","BA","2","14.907","13,4"
"Nova Mutum (MT)","MT","3","22.462","13,4"
"Barroquinha (CE)","CE","1","7.523","13,3"
"Presidente Dutra (BA)","BA","1","7.539","13,3"
"Glória (BA)","BA","1","7.559","13,2"
"Monte Alegre de Sergipe (SE)","SE","1","7.576","13,2"
"Lábrea (AM)","AM","3","22.806","13,2"
"Nova Bandeirantes (MT)","MT","1","7.611","13,1"
"Nova Timboteua (PA)","PA","1","7.625","13,1"
"Porteiras (CE)","CE","1","7.653","13,1"
"Aveiro (PA)","PA","1","7.694","13,0"
"Lauro Müller (SC)","SC","1","7.694","13,0"
"Mocajuba (PA)","PA","2","15.394","13,0"
"Urucará (AM)","AM","1","7.723","12,9"
"Mamanguape (PB)","PB","3","23.199","12,9"
"Mirandiba (PE)","PE","1","7.765","12,9"
"Minas Novas (MG)","MG","2","15.588","12,8"
"Arame (MA)","MA","2","15.596","12,8"
"Ribeirão Branco (SP)","SP","1","7.803","12,8"
"Novo Cruzeiro (MG)","MG","2","15.689","12,7"
"Feliz Natal (MT)","MT","1","7.855","12,7"
"Santa Cruz (PE)","PE","1","7.857","12,7"
"Canindé de São Francisco (SE)","SE","2","15.716","12,7"
"Mantenópolis (ES)","ES","1","7.863","12,7"
"Xique-Xique (BA)","BA","3","23.590","12,7"
"Paulino Neves (MA)","MA","1","7.941","12,6"
"Rosário Oeste (MT)","MT","1","7.954","12,6"
"Coronel Sapucaia (MS)","MS","1","7.987","12,5"
"Santa Luzia (PB)","PB","1","8.013","12,5"
"Moju (PA)","PA","5","40.075","12,5"
"Camacan (BA)","BA","2","16.040","12,5"
"Bagre (PA)","PA","2","16.041","12,5"
"Anapurus (MA)","MA","1","8.055","12,4"
"Barcarena (PA)","PA","8","64.540","12,4"
"Poconé (MT)","MT","2","16.154","12,4"
"Filadélfia (BA)","BA","1","8.117","12,3"
"Matões do Norte (MA)","MA","1","8.118","12,3"
"Pinhão (PR)","PR","2","16.258","12,3"
"Pedra Branca do Amapari (AP)","AP","1","8.186","12,2"
"Manacapuru (AM)","AM","6","49.225","12,2"
"Nova Ipixuna (PA)","PA","1","8.223","12,2"
"Taguatinga (TO)","TO","1","8.237","12,1"
"Bom Lugar (MA)","MA","1","8.259","12,1"
"São José da Tapera (AL)","AL","2","16.558","12,1"
"Guajará (AM)","AM","1","8.354","12,0"
"Jaguarari (BA)","BA","2","16.753","11,9"
"Breves (PA)","PA","6","50.490","11,9"
"Fortim (CE)","CE","1","8.420","11,9"
"Mucajaí (RR)","RR","1","8.421","11,9"
"Bonito (BA)","BA","1","8.482","11,8"
"Urucuia (MG)","MG","1","8.505","11,8"
"Souto Soares (BA)","BA","1","8.512","11,7"
"Buritama (SP)","SP","1","8.524","11,7"
"Itacoatiara (AM)","AM","6","51.182","11,7"
"Serra Dourada (BA)","BA","1","8.564","11,7"
"Pedra Preta (MT)","MT","1","8.648","11,6"
"Tanque Novo (BA)","BA","1","8.684","11,5"
"Arinos (MG)","MG","1","8.688","11,5"
"Caetité (BA)","BA","3","26.140","11,5"
"Capela (SE)","SE","2","17.452","11,5"
"Piatã (BA)","BA","1","8.755","11,4"
"Sítio Novo (MA)","MA","1","8.758","11,4"
"Parnarama (MA)","MA","2","17.534","11,4"
"São Miguel do Tapuio (PI)","PI","1","8.771","11,4"
"Canapi (AL)","AL","1","8.772","11,4"
"Seara (SC)","SC","1","8.773","11,4"
"Monsenhor Tabosa (CE)","CE","1","8.815","11,3"
"Marabá (PA)","PA","16","141.361","11,3"
"Aporá (BA)","BA","1","8.900","11,2"
"Parauapebas (PA)","PA","12","107.468","11,2"
"Capitão Poço (PA)","PA","3","26.938","11,1"
"Una (BA)","BA","1","9.008","11,1"
"Abelardo Luz (SC)","SC","1","9.019","11,1"
"Itapajé (CE)","CE","3","27.064","11,1"
"Indiaroba (SE)","SE","1","9.046","11,1"
"Boqueirão (PB)","PB","1","9.062","11,0"
"Ladainha (MG)","MG","1","9.073","11,0"
"Costa Marques (RO)","RO","1","9.101","11,0"
"Gonçalves Dias (MA)","MA","1","9.144","10,9"
"Terra Santa (PA)","PA","1","9.162","10,9"
"Itacarambi (MG)","MG","1","9.167","10,9"
"Jussara (GO)","GO","1","9.178","10,9"
"Brejo (MA)","MA","2","18.399","10,9"
"São João do Soter (MA)","MA","1","9.236","10,8"
"São Gabriel (BA)","BA","1","9.261","10,8"
"Oriximiná (PA)","PA","4","37.278","10,7"
"Guaranésia (MG)","MG","1","9.386","10,7"
"Itapororoca (PB)","PB","1","9.418","10,6"
"Batalha (AL)","AL","1","9.445","10,6"
"Porciúncula (RJ)","RJ","1","9.446","10,6"
"Campo do Brito (SE)","SE","1","9.460","10,6"
"Cajari (MA)","MA","1","9.506","10,5"
"Sengés (PR)","PR","1","9.531","10,5"
"Umburanas (BA)","BA","1","9.534","10,5"
"Conceição (PB)","PB","1","9.535","10,5"
"Macarani (BA)","BA","1","9.541","10,5"
"Estreito (MA)","MA","2","19.152","10,4"
"Monte Alegre (PA)","PA","3","28.730","10,4"
"Xapuri (AC)","AC","1","9.610","10,4"
"Juruti (PA)","PA","3","28.874","10,4"
"Santa Helena de Goiás (GO)","GO","2","19.398","10,3"
"Camocim de São Félix (PE)","PE","1","9.705","10,3"
"Tejuçuoca (CE)","CE","1","9.710","10,3"
"Santa Rita (MA)","MA","2","19.474","10,3"
"Dom Eliseu (PA)","PA","3","29.248","10,3"
"Umirim (CE)","CE","1","9.758","10,2"
"Morros (MA)","MA","1","9.760","10,2"
"Iturama (MG)","MG","2","19.742","10,1"
"Ibicoara (BA)","BA","1","9.959","10,0"
"São Miguel do Guamá (PA)","PA","3","29.912","10,0"
"Itaituba (PA)","PA","5","49.989","10,0"
"Turmalina (MG)","MG","1","10.016","10,0"
"Tutóia (MA)","MA","3","30.122","10,0"
"Canaã dos Carajás (PA)","PA","2","20.214","9,9"
"Santa Maria das Barreiras (PA)","PA","1","10.141","9,9"
"Uruaçu (GO)","GO","2","20.294","9,9"
"Abaré (BA)","BA","1","10.156","9,8"
"Santo Antônio do Içá (AM)","AM","1","10.176","9,8"
"Tanhaçu (BA)","BA","1","10.186","9,8"
"Jeremoabo (BA)","BA","2","20.395","9,8"
"Nova Esperança do Piriá (PA)","PA","1","10.260","9,7"
"Monte Azul (MG)","MG","1","10.317","9,7"
"Igarapé-Miri (PA)","PA","3","31.205","9,6"
"Portel (PA)","PA","3","31.311","9,6"
"Paulo Ramos (MA)","MA","1","10.451","9,6"
"Bombinhas (SC)","SC","1","10.482","9,5"
"Barreirinhas (MA)","MA","3","31.656","9,5"
"Canarana (MT)","MT","1","10.704","9,3"
"Bequimão (MA)","MA","1","10.717","9,3"
"Anori (AM)","AM","1","10.721","9,3"
"Paranatinga (MT)","MT","1","10.808","9,3"
"Paulistana (PI)","PI","1","10.825","9,2"
"Cajazeiras (PB)","PB","3","32.528","9,2"
"Aripuanã (MT)","MT","1","10.950","9,1"
"Alcântara (MA)","MA","1","10.960","9,1"
"Hidrolândia (GO)","GO","1","11.070","9,0"
"Maracaçumé (MA)","MA","1","11.119","9,0"
"São Vicente Ferrer (MA)","MA","1","11.194","8,9"
"Coroatá (MA)","MA","3","33.637","8,9"
"Cantanhede (MA)","MA","1","11.280","8,9"
"Chaves (PA)","PA","1","11.325","8,8"
"Augusto Corrêa (PA)","PA","2","22.708","8,8"
"Sena Madureira (AC)","AC","2","22.747","8,8"
"Urucurituba (AM)","AM","1","11.411","8,8"
"Tocantinópolis (TO)","TO","1","11.494","8,7"
"Baião (PA)","PA","2","23.204","8,6"
"Coreaú (CE)","CE","1","11.682","8,6"
"Itapaci (GO)","GO","1","11.693","8,6"
"Coração de Maria (BA)","BA","1","11.815","8,5"
"Tucuruí (PA)","PA","5","59.164","8,5"
"Peritoró (MA)","MA","1","11.905","8,4"
"Novo Aripuanã (AM)","AM","1","12.078","8,3"
"Irauçuba (CE)","CE","1","12.081","8,3"
"Igreja Nova (AL)","AL","1","12.314","8,1"
"Buriticupu (MA)","MA","3","37.003","8,1"
"Novo Repartimento (PA)","PA","3","37.205","8,1"
"Quirinópolis (GO)","GO","2","24.894","8,0"
"Buritis (MG)","MG","1","12.456","8,0"
"Rurópolis (PA)","PA","2","25.052","8,0"
"Formosa do Rio Preto (BA)","BA","1","12.569","8,0"
"Jucás (CE)","CE","1","12.613","7,9"
"Rondon do Pará (PA)","PA","2","25.316","7,9"
"Santa Luzia do Paruá (MA)","MA","1","12.690","7,9"
"Óbidos (PA)","PA","2","25.447","7,9"
"Queimadas (BA)","BA","1","12.836","7,8"
"Cedro (CE)","CE","1","12.995","7,7"
"Coração de Jesus (MG)","MG","1","13.005","7,7"
"Santa Quitéria do Maranhão (MA)","MA","1","13.054","7,7"
"Aldeias Altas (MA)","MA","1","13.117","7,6"
"Guaraí (TO)","TO","1","13.157","7,6"
"Vila Rica (MT)","MT","1","13.201","7,6"
"Ipameri (GO)","GO","1","13.572","7,4"
"Coari (AM)","AM","3","40.833","7,3"
"Ilha Solteira (SP)","SP","1","13.812","7,2"
"Boquim (SE)","SE","1","13.826","7,2"
"Alto Alegre do Maranhão (MA)","MA","1","13.882","7,2"
"Marapanim (PA)","PA","1","14.009","7,1"
"Prainha (PA)","PA","1","14.044","7,1"
"Limoeiro do Ajuru (PA)","PA","1","14.058","7,1"
"Porto da Folha (SE)","SE","1","14.147","7,1"
"Carinhanha (BA)","BA","1","14.333","7,0"
"Eunápolis (BA)","BA","4","58.387","6,9"
"Taquaritinga do Norte (PE)","PE","1","14.761","6,8"
"Viseu (PA)","PA","2","29.538","6,8"
"Tracuateua (PA)","PA","1","15.211","6,6"
"Ipixuna (AM)","AM","1","15.315","6,5"
"Jacundá (PA)","PA","2","30.657","6,5"
"Serra do Ramalho (BA)","BA","1","15.336","6,5"
"Viçosa do Ceará (CE)","CE","2","31.105","6,4"
"Ulianópolis (PA)","PA","2","31.271","6,4"
"Ponta de Pedras (PA)","PA","1","15.637","6,4"
"Maués (AM)","AM","2","31.438","6,4"
"Alto Alegre do Pindaré (MA)","MA","1","15.773","6,3"
"Oeiras do Pará (PA)","PA","1","15.847","6,3"
"Irituia (PA)","PA","1","15.908","6,3"
"Aurora do Pará (PA)","PA","1","16.007","6,2"
"Rio Preto da Eva (AM)","AM","1","16.487","6,1"
"Concórdia do Pará (PA)","PA","1","16.556","6,0"
"Barão de Cocais (MG)","MG","1","16.622","6,0"
"Feijó (AC)","AC","1","16.706","6,0"
"Manaquiri (AM)","AM","1","16.808","5,9"
"Boca do Acre (AM)","AM","1","16.958","5,9"
"Pindaré-Mirim (MA)","MA","1","17.049","5,9"
"Breu Branco (PA)","PA","2","34.105","5,9"
"Turiaçu (MA)","MA","1","17.341","5,8"
"Pilão Arcado (BA)","BA","1","17.390","5,8"
"Canguaretama (RN)","RN","1","17.431","5,7"
"Padre Bernardo (GO)","GO","1","17.468","5,7"
"São Raimundo Nonato (PI)","PI","1","17.878","5,6"
"Ubajara (CE)","CE","1","18.006","5,6"
"Afuá (PA)","PA","1","18.827","5,3"
"Autazes (AM)","AM","1","19.483","5,1"
"Tucumã (PA)","PA","1","19.719","5,1"
"Igarapé-Açu (PA)","PA","1","19.788","5,1"
"Colniza (MT)","MT","1","19.819","5,0"
"José de Freitas (PI)","PI","1","20.041","5,0"
"Bom Jardim (MA)","MA","1","20.891","4,8"
"Redenção (PA)","PA","2","43.114","4,6"
"São Félix do Xingu (PA)","PA","3","65.516","4,6"
"Seabra (BA)","BA","1","22.671","4,4"
"Araioses (MA)","MA","1","23.073","4,3"
"Ipiaú (BA)","BA","1","23.334","4,3"
"Acará (PA)","PA","1","26.296","3,8"
"Manicoré (AM)","AM","1","27.315","3,7"
"Araci (BA)","BA","1","27.653","3,6"
"Alenquer (PA)","PA","1","27.984","3,6"
"Vargem Grande (MA)","MA","1","29.247","3,4"
"Santana do Araguaia (PA)","PA","1","35.763","2,8"
"Parintins (AM)","AM","1","56.755","1,8"
"Acrelândia (AC)","AC","0","7.673","0,0"
"Assis Brasil (AC)","AC","0","3.881","0,0"
"Bujari (AC)","AC","0","5.063","0,0"
"Jordão (AC)","AC","0","4.174","0,0"
"Marechal Thaumaturgo (AC)","AC","0","9.364","0,0"
"Mâncio Lima (AC)","AC","0","9.670","0,0"
"Porto Walter (AC)","AC","0","5.949","0,0"
"Rodrigues Alves (AC)","AC","0","9.609","0,0"
"Tarauacá (AC)","AC","0","21.192","0,0"
"Anadia (AL)","AL","0","9.136","0,0"
"Chã Preta (AL)","AL","0","3.599","0,0"
"Coqueiro Seco (AL)","AL","0","3.003","0,0"
"Flexeiras (AL)","AL","0","6.494","0,0"
"Ibateguara (AL)","AL","0","7.892","0,0"
"Jacaré dos Homens (AL)","AL","0","2.639","0,0"
"Jacuípe (AL)","AL","0","3.506","0,0"
"Jundiá (AL)","AL","0","2.112","0,0"
"Mar Vermelho (AL)","AL","0","1.783","0,0"
"Maravilha (AL)","AL","0","4.394","0,0"
"Monteirópolis (AL)","AL","0","3.698","0,0"
"Olho d'Água do Casado (AL)","AL","0","4.757","0,0"
"Palestina (AL)","AL","0","2.651","0,0"
"Pariconha (AL)","AL","0","5.341","0,0"
"Piaçabuçu (AL)","AL","0","8.939","0,0"
"Pindoba (AL)","AL","0","1.480","0,0"
"Poço das Trincheiras (AL)","AL","0","7.119","0,0"
"Tanque d'Arca (AL)","AL","0","3.099","0,0"
"Alvarães (AM)","AM","0","7.755","0,0"
"Amaturá (AM)","AM","0","5.746","0,0"
"Anamã (AM)","AM","0","6.697","0,0"
"Atalaia do Norte (AM)","AM","0","9.957","0,0"
"Barcelos (AM)","AM","0","12.474","0,0"
"Barreirinha (AM)","AM","0","15.759","0,0"
"Benjamin Constant (AM)","AM","0","21.672","0,0"
"Beruri (AM)","AM","0","9.738","0,0"
"Boa Vista do Ramos (AM)","AM","0","9.233","0,0"
"Borba (AM)","AM","0","20.077","0,0"
"Caapiranga (AM)","AM","0","6.415","0,0"
"Canutama (AM)","AM","0","7.092","0,0"
"Carauari (AM)","AM","0","13.996","0,0"
"Careiro (AM)","AM","0","18.723","0,0"
"Careiro da Várzea (AM)","AM","0","15.032","0,0"
"Codajás (AM)","AM","0","14.346","0,0"
"Eirunepé (AM)","AM","0","17.580","0,0"
"Fonte Boa (AM)","AM","0","7.784","0,0"
"Itamarati (AM)","AM","0","3.672","0,0"
"Itapiranga (AM)","AM","0","4.455","0,0"
"Japurá (AM)","AM","0","818","0,0"
"Juruá (AM)","AM","0","7.544","0,0"
"Jutaí (AM)","AM","0","6.358","0,0"
"Maraã (AM)","AM","0","8.271","0,0"
"Nhamundá (AM)","AM","0","10.434","0,0"
"Nova Olinda do Norte (AM)","AM","0","18.670","0,0"
"Novo Airão (AM)","AM","0","9.742","0,0"
"Pauini (AM)","AM","0","9.172","0,0"
"Santa Isabel do Rio Negro (AM)","AM","0","13.012","0,0"
"Silves (AM)","AM","0","4.402","0,0"
"São Gabriel da Cachoeira (AM)","AM","0","22.849","0,0"
"São Paulo de Olivença (AM)","AM","0","19.518","0,0"
"São Sebastião do Uatumã (AM)","AM","0","6.989","0,0"
"Tapauá (AM)","AM","0","7.946","0,0"
"Tonantins (AM)","AM","0","9.066","0,0"
"Uarini (AM)","AM","0","6.419","0,0"
"Calçoene (AP)","AP","0","5.308","0,0"
"Cutias (AP)","AP","0","3.014","0,0"
"Itaubal (AP)","AP","0","2.614","0,0"
"Oiapoque (AP)","AP","0","13.840","0,0"
"Pracuúba (AP)","AP","0","2.596","0,0"
"Tartarugalzinho (AP)","AP","0","8.456","0,0"
"Vitória do Jari (AP)","AP","0","7.939","0,0"
"Adustina (BA)","BA","0","8.588","0,0"
"Aiquara (BA)","BA","0","2.157","0,0"
"Almadina (BA)","BA","0","2.682","0,0"
"Apuarema (BA)","BA","0","3.742","0,0"
"Aramari (BA)","BA","0","5.770","0,0"
"Barra (BA)","BA","0","26.533","0,0"
"Barra do Mendes (BA)","BA","0","6.549","0,0"
"Barra do Rocha (BA)","BA","0","2.667","0,0"
"Belmonte (BA)","BA","0","11.430","0,0"
"Boninal (BA)","BA","0","7.509","0,0"
"Buritirama (BA)","BA","0","10.294","0,0"
"Caatiba (BA)","BA","0","2.819","0,0"
"Cafarnaum (BA)","BA","0","9.149","0,0"
"Canápolis (BA)","BA","0","4.785","0,0"
"Caraíbas (BA)","BA","0","4.228","0,0"
"Cardeal da Silva (BA)","BA","0","4.682","0,0"
"Caturama (BA)","BA","0","4.529","0,0"
"Chorrochó (BA)","BA","0","5.498","0,0"
"Conde (BA)","BA","0","13.074","0,0"
"Coronel João Sá (BA)","BA","0","7.521","0,0"
"Correntina (BA)","BA","0","15.935","0,0"
"Cotegipe (BA)","BA","0","6.534","0,0"
"Cravolândia (BA)","BA","0","2.659","0,0"
"Feira da Mata (BA)","BA","0","2.748","0,0"
"Floresta Azul (BA)","BA","0","5.168","0,0"
"Fátima (BA)","BA","0","8.830","0,0"
"Gongogi (BA)","BA","0","3.441","0,0"
"Ibirapuã (BA)","BA","0","4.205","0,0"
"Ibitiara (BA)","BA","0","8.327","0,0"
"Ichu (BA)","BA","0","3.219","0,0"
"Igrapiúna (BA)","BA","0","6.110","0,0"
"Ipupiara (BA)","BA","0","4.897","0,0"
"Itamari (BA)","BA","0","3.957","0,0"
"Itanagra (BA)","BA","0","3.170","0,0"
"Itiruçu (BA)","BA","0","6.354","0,0"
"Jacaraci (BA)","BA","0","7.229","0,0"
"Jiquiriçá (BA)","BA","0","7.234","0,0"
"Jucuruçu (BA)","BA","0","4.226","0,0"
"Jussiape (BA)","BA","0","3.038","0,0"
"Lafaiete Coutinho (BA)","BA","0","1.769","0,0"
"Laje (BA)","BA","0","12.014","0,0"
"Lajedinho (BA)","BA","0","1.774","0,0"
"Lajedão (BA)","BA","0","2.046","0,0"
"Lamarão (BA)","BA","0","4.186","0,0"
"Lençóis (BA)","BA","0","5.726","0,0"
"Macajuba (BA)","BA","0","5.854","0,0"
"Macururé (BA)","BA","0","3.902","0,0"
"Maiquinique (BA)","BA","0","4.954","0,0"
"Malhada de Pedras (BA)","BA","0","4.036","0,0"
"Mansidão (BA)","BA","0","6.651","0,0"
"Mirante (BA)","BA","0","3.919","0,0"
"Morpará (BA)","BA","0","4.156","0,0"
"Mucugê (BA)","BA","0","4.453","0,0"
"Mulungu do Morro (BA)","BA","0","5.214","0,0"
"Nordestina (BA)","BA","0","6.412","0,0"
"Nova Canaã (BA)","BA","0","8.160","0,0"
"Novo Triunfo (BA)","BA","0","7.432","0,0"
"Pedro Alexandre (BA)","BA","0","8.092","0,0"
"Pedrão (BA)","BA","0","3.792","0,0"
"Pintadas (BA)","BA","0","5.197","0,0"
"Piritiba (BA)","BA","0","12.326","0,0"
"Quixabeira (BA)","BA","0","4.420","0,0"
"Ribeirão do Largo (BA)","BA","0","2.365","0,0"
"Rio do Antônio (BA)","BA","0","7.788","0,0"
"Ruy Barbosa (BA)","BA","0","15.978","0,0"
"Santa Cruz da Vitória (BA)","BA","0","3.037","0,0"
"Santa Inês (BA)","BA","0","5.363","0,0"
"Serra Preta (BA)","BA","0","7.409","0,0"
"São Domingos (BA)","BA","0","4.642","0,0"
"Sítio do Mato (BA)","BA","0","6.321","0,0"
"Tapiramutá (BA)","BA","0","8.460","0,0"
"Urandi (BA)","BA","0","8.352","0,0"
"Wagner (BA)","BA","0","4.728","0,0"
"Altaneira (CE)","CE","0","4.002","0,0"
"Antonina do Norte (CE)","CE","0","3.857","0,0"
"Aratuba (CE)","CE","0","5.965","0,0"
"Croatá (CE)","CE","0","9.369","0,0"
"Farias Brito (CE)","CE","0","9.837","0,0"
"General Sampaio (CE)","CE","0","3.856","0,0"
"Ipaumirim (CE)","CE","0","6.243","0,0"
"Itaiçaba (CE)","CE","0","3.997","0,0"
"Martinópole (CE)","CE","0","5.769","0,0"
"Mucambo (CE)","CE","0","7.675","0,0"
"Palhano (CE)","CE","0","4.639","0,0"
"Pereiro (CE)","CE","0","8.245","0,0"
"Poranga (CE)","CE","0","6.200","0,0"
"Potiretama (CE)","CE","0","3.134","0,0"
"Quiterianópolis (CE)","CE","0","10.942","0,0"
"Salitre (CE)","CE","0","8.434","0,0"
"Senador Sá (CE)","CE","0","3.955","0,0"
"Conceição do Castelo (ES)","ES","0","6.304","0,0"
"Iconha (ES)","ES","0","6.891","0,0"
"João Neiva (ES)","ES","0","8.511","0,0"
"Adelândia (GO)","GO","0","1.246","0,0"
"Aloândia (GO)","GO","0","980","0,0"
"Alto Paraíso de Goiás (GO)","GO","0","4.083","0,0"
"Amaralina (GO)","GO","0","1.834","0,0"
"Americano do Brasil (GO)","GO","0","2.978","0,0"
"Anhanguera (GO)","GO","0","580","0,0"
"Aparecida do Rio Doce (GO)","GO","0","1.208","0,0"
"Aporé (GO)","GO","0","2.005","0,0"
"Araguapaz (GO)","GO","0","3.887","0,0"
"Aurilândia (GO)","GO","0","1.486","0,0"
"Bonópolis (GO)","GO","0","2.212","0,0"
"Brazabrantes (GO)","GO","0","1.901","0,0"
"Britânia (GO)","GO","0","2.855","0,0"
"Buritinópolis (GO)","GO","0","1.588","0,0"
"Cachoeira de Goiás (GO)","GO","0","639","0,0"
"Cachoeira Dourada (GO)","GO","0","4.025","0,0"
"Campos Verdes (GO)","GO","0","760","0,0"
"Caturaí (GO)","GO","0","2.512","0,0"
"Cavalcante (GO)","GO","0","4.688","0,0"
"Cezarina (GO)","GO","0","4.359","0,0"
"Cristianópolis (GO)","GO","0","1.455","0,0"
"Cromínia (GO)","GO","0","1.741","0,0"
"Damolândia (GO)","GO","0","1.533","0,0"
"Davinópolis (GO)","GO","0","987","0,0"
"Diorama (GO)","GO","0","1.248","0,0"
"Divinópolis de Goiás (GO)","GO","0","2.288","0,0"
"Edealina (GO)","GO","0","1.776","0,0"
"Estrela do Norte (GO)","GO","0","1.543","0,0"
"Faina (GO)","GO","0","3.155","0,0"
"Fazenda Nova (GO)","GO","0","2.716","0,0"
"Flores de Goiás (GO)","GO","0","7.612","0,0"
"Gameleira de Goiás (GO)","GO","0","1.889","0,0"
"Goiás (GO)","GO","0","11.396","0,0"
"Guarani de Goiás (GO)","GO","0","1.764","0,0"
"Guaraíta (GO)","GO","0","971","0,0"
"Heitoraí (GO)","GO","0","1.848","0,0"
"Israelândia (GO)","GO","0","1.381","0,0"
"Jesúpolis (GO)","GO","0","1.264","0,0"
"Lagoa Santa (GO)","GO","0","827","0,0"
"Marzagão (GO)","GO","0","1.138","0,0"
"Matrinchã (GO)","GO","0","2.164","0,0"
"Mimoso de Goiás (GO)","GO","0","1.193","0,0"
"Monte Alegre de Goiás (GO)","GO","0","4.276","0,0"
"Montividiu (GO)","GO","0","6.698","0,0"
"Morro Agudo de Goiás (GO)","GO","0","1.120","0,0"
"Mundo Novo (GO)","GO","0","2.113","0,0"
"Mutunópolis (GO)","GO","0","1.818","0,0"
"Nova Glória (GO)","GO","0","4.066","0,0"
"Nova Iguaçu de Goiás (GO)","GO","0","1.437","0,0"
"Nova Roma (GO)","GO","0","1.574","0,0"
"Novo Brasil (GO)","GO","0","1.367","0,0"
"Novo Planalto (GO)","GO","0","2.195","0,0"
"Ouvidor (GO)","GO","0","3.436","0,0"
"Palestina de Goiás (GO)","GO","0","1.597","0,0"
"Palmelo (GO)","GO","0","1.232","0,0"
"Panamá (GO)","GO","0","1.286","0,0"
"Perolândia (GO)","GO","0","1.495","0,0"
"Portelândia (GO)","GO","0","1.959","0,0"
"Professor Jamil (GO)","GO","0","1.571","0,0"
"Rio Quente (GO)","GO","0","2.319","0,0"
"Santa Cruz de Goiás (GO)","GO","0","1.374","0,0"
"Santa Fé de Goiás (GO)","GO","0","2.846","0,0"
"Santa Isabel (GO)","GO","0","1.860","0,0"
"Santa Rita do Novo Destino (GO)","GO","0","1.522","0,0"
"Santa Rosa de Goiás (GO)","GO","0","1.124","0,0"
"Santa Tereza de Goiás (GO)","GO","0","1.636","0,0"
"Simolândia (GO)","GO","0","3.407","0,0"
"São Luiz do Norte (GO)","GO","0","2.611","0,0"
"São Miguel do Passa Quatro (GO)","GO","0","2.045","0,0"
"São Patrício (GO)","GO","0","1.064","0,0"
"Sítio d'Abadia (GO)","GO","0","1.437","0,0"
"Taquaral de Goiás (GO)","GO","0","1.839","0,0"
"Teresina de Goiás (GO)","GO","0","1.722","0,0"
"Trombas (GO)","GO","0","1.701","0,0"
"Turvelândia (GO)","GO","0","2.606","0,0"
